id,name,smiles,mw,logp,tpsa,hbd,hba,rotbonds,status,reason,pdbqt
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.16,1.78,107.0,1,8,4,FAIL,TPSA=107.0; HBA=8,
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,162.12,1.85,16.1,0,2,1,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL3.pdbqt
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.14,1.54,75.0,1,5,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL4.pdbqt
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.08,1.42,72.2,1,3,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL5.pdbqt
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.08,3.93,68.5,1,3,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL6.pdbqt
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.04,-0.79,91.8,1,4,1,FAIL,LogP=-0.79; TPSA=91.8,
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.05,-1.52,122.5,1,6,3,FAIL,LogP=-1.52; TPSA=122.5,
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.13,1.58,74.6,2,4,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL8.pdbqt
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.13,1.27,74.6,2,4,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL9.pdbqt
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,135.1,1.58,26.0,1,1,2,FAIL,MW=135.1,
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.03,-1.06,123.2,0,8,4,FAIL,LogP=-1.06; TPSA=123.2; HBA=8,
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.16,3.08,6.5,0,2,0,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL6437.pdbqt
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.19,3.88,6.5,0,2,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL11.pdbqt
