pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S3_site473,CHEMBL3233142,LUMATEPERONE TOSYLATE,-34.24,3.18,101,1.181,3.66,4.4,393.22,3.92,26.8,0.0,4.0,29,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,5,0,0.338,0,,0,1
S3_site473,CHEMBL799,CILOSTAZOL,-34.19,3.66,101,1.266,3.69,4.42,369.22,3.46,81.9,1.0,5.0,27,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,7,0,-0.547,0,,1,1
S3_site473,CHEMBL595,PIOGLITAZONE,-33.08,2.93,101,1.323,4.23,5.07,356.12,3.16,68.3,1.0,5.0,25,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,7,0,-0.392,0,,1,1
S3_site473,CHEMBL2359966,QUININE SULFATE,-30.89,4.16,101,1.287,4.36,5.23,324.18,3.17,45.6,1.0,4.0,24,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4,0,-0.054,0,,1,1
S3_site473,CHEMBL1387,NORETHYNODREL,-29.02,4.1,101,1.319,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,0,0.14,0,,1,1
S1_site680,CHEMBL3989939,LAROTRECTINIB SULFATE,-28.69,7.65,101,0.925,3.26,3.92,428.18,2.95,86.0,2.0,5.0,31,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,3,0,-0.685,0,,0,1
S3_site473,CHEMBL857,BIOTIN,-28.61,3.77,101,1.788,3.86,4.63,244.09,0.8,78.4,3.0,3.0,16,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,5,0,-0.9,0,,1,1
S1_site1813,CHEMBL1200803,SOLIFENACIN SUCCINATE,-28.11,3.15,101,1.041,3.93,4.72,362.2,3.86,32.8,0.0,3.0,27,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,2,0,0.24,0,,0,1
S3_site473,CHEMBL400599,BENFLUOREX,-28.11,3.63,101,1.125,3.6,4.32,351.14,4.08,38.3,1.0,3.0,25,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,7,0,0.192,0,,1,1
S1_site688,CHEMBL85,RISPERIDONE,-27.81,3.52,101,0.927,3.75,4.5,410.21,3.59,64.2,0.0,5.0,30,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4,0,-0.265,0,,0,1
S1_site688,CHEMBL406393,DEOXYCHOLIC ACID,-27.65,3.23,101,0.987,2.07,2.49,392.29,4.48,77.8,3.0,3.0,28,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,4,0,-0.331,0,,0,0
S1_site680,CHEMBL254857,FIPEXIDE,-27.41,5.62,101,1.015,4.54,5.44,388.12,2.79,51.2,0.0,5.0,27,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,5,0,-0.195,0,,0,1
S1_site1813,CHEMBL2079587,STANOZOLOL,-27.24,3.79,101,1.135,3.23,3.88,328.25,4.12,48.9,2.0,2.0,24,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,0,0.042,0,,0,1
S3_site473,CHEMBL95,TACRINE,-27.15,2.88,101,1.81,4.6,5.52,198.12,2.7,38.9,1.0,2.0,15,Nc1c2c(nc3ccccc13)CCCC2,0,0,-0.026,0,,0,1
