pocket,chembl_id,name,dG_mean,dG_sd,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,Brenk_alert,smiles
S1_site1813,CHEMBL1200803,SOLIFENACIN SUCCINATE,-28.11,3.15,1.041,3.93,4.72,362.2,3.86,32.8,0.0,3.0,2,0,0.24,0,0,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
S1_site1813,CHEMBL2079587,STANOZOLOL,-27.24,3.79,1.135,3.23,3.88,328.25,4.12,48.9,2.0,2.0,0,0,0.042,0,0,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
S1_site1813,CHEMBL521686,OLAPARIB,-26.92,2.83,0.841,3.75,4.5,434.18,2.35,86.4,1.0,4.0,4,0,-0.783,0,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
S1_site1813,CHEMBL4585668,BELZUTIFAN,-26.71,3.35,1.027,3.64,4.36,383.04,3.29,87.4,1.0,5.0,3,0,-0.654,0,0,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
S1_site1813,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-25.76,2.87,0.859,3.76,4.51,403.18,3.72,48.0,0.0,5.0,3,0,-0.006,0,0,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S1_site1813,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-24.58,3.37,0.878,3.45,4.14,412.11,3.81,48.5,1.0,5.0,4,0,0.0,0,0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
S1_site1813,CHEMBL1162,NORETHINDRONE,-23.05,4.15,1.048,4.09,4.91,298.19,3.49,37.3,1.0,2.0,0,0,0.117,0,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
S1_site1813,CHEMBL1200436,OXANDROLONE,-22.9,3.07,1.041,4.05,4.86,306.22,3.54,46.5,1.0,3.0,0,0,-0.011,0,0,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
S1_site1813,CHEMBL1201151,MESTRANOL,-22.71,2.75,0.987,3.73,4.48,310.19,3.92,29.5,1.0,2.0,1,0,0.298,0,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
S1_site1813,CHEMBL1200430,ESTRADIOL ACETATE,-22.63,3.45,0.984,3.81,4.57,314.19,3.83,46.5,1.0,3.0,1,0,0.033,0,1,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
S1_site1813,CHEMBL976,PRAZIQUANTEL,-21.97,2.89,0.955,4.82,5.79,312.18,2.53,40.6,0.0,2.0,1,0,-0.077,0,0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
S1_site1813,CHEMBL1627367,FLUOROESTRADIOL,-21.71,2.5,1.034,3.7,4.44,290.17,3.56,40.5,2.0,2.0,0,0,0.081,0,0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O
S1_site1813,CHEMBL1571,TESTOLACTONE,-21.38,3.28,0.972,4.17,5.01,300.17,3.59,43.4,0.0,3.0,0,0,0.042,0,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
S1_site1813,CHEMBL85,RISPERIDONE,-21.2,2.23,0.707,3.75,4.5,410.21,3.59,64.2,0.0,5.0,4,0,-0.265,0,0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
S1_site1813,CHEMBL1405,ESTRONE,-20.52,2.47,1.026,3.82,4.58,270.16,3.82,37.3,1.0,2.0,0,0,0.168,0,0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
S1_site1813,CHEMBL4594261,FLUOROESTRADIOL F-18,-20.44,3.05,0.973,3.7,4.44,289.17,3.56,40.5,2.0,2.0,0,0,0.081,0,0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O
S1_site1813,CHEMBL654,MIRTAZAPINE,-20.13,3.32,1.007,4.84,5.81,265.16,2.48,19.4,0.0,3.0,0,0,0.229,0,0,CN1CCN2c3ncccc3Cc3ccccc3C2C1
S1_site680,CHEMBL3989939,LAROTRECTINIB SULFATE,-28.69,7.65,0.925,3.26,3.92,428.18,2.95,86.0,2.0,5.0,3,0,-0.685,0,0,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
S1_site680,CHEMBL254857,FIPEXIDE,-27.41,5.62,1.015,4.54,5.44,388.12,2.79,51.2,0.0,5.0,5,0,-0.195,0,0,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
S1_site680,CHEMBL1201060,LOXAPINE HYDROCHLORIDE,-26.18,2.98,1.138,4.03,4.83,327.11,3.77,28.1,0.0,4.0,0,0,0.296,0,0,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
S1_site680,CHEMBL1621,PALIPERIDONE,-22.97,5.23,0.741,3.55,4.26,426.21,3.08,84.4,1.0,6.0,4,0,-0.642,0,0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
S1_site680,CHEMBL277100,TEMAFLOXACIN,-22.55,4.0,0.752,3.55,4.26,417.13,2.9,74.6,2.0,4.0,3,0,-0.524,0,0,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
S1_site680,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-21.11,3.03,0.754,3.45,4.14,412.11,3.81,48.5,1.0,5.0,4,0,0.0,0,0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
S1_site680,CHEMBL85,RISPERIDONE,-21.03,3.08,0.701,3.75,4.5,410.21,3.59,64.2,0.0,5.0,4,0,-0.265,0,0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
S1_site680,CHEMBL2103837,TAFAMIDIS,-20.86,3.34,1.043,3.2,3.83,306.98,4.5,63.3,1.0,3.0,2,0,-0.114,0,0,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1
S1_site680,CHEMBL256997,ATALUREN,-20.28,3.17,0.966,4.03,4.84,284.06,3.24,76.2,1.0,4.0,3,0,-0.496,0,0,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
S1_site680,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-20.27,2.67,0.676,3.76,4.51,403.18,3.72,48.0,0.0,5.0,3,0,-0.006,0,0,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S1_site680,CHEMBL494753,ESTRONE SULFURIC ACID,-20.02,3.29,0.834,3.91,4.7,350.12,3.29,80.7,1.0,4.0,2,0,-0.555,0,1,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
S1_site688,CHEMBL85,RISPERIDONE,-27.81,3.52,0.927,3.75,4.5,410.21,3.59,64.2,0.0,5.0,4,0,-0.265,0,0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
S1_site688,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-26.71,3.07,0.89,3.76,4.51,403.18,3.72,48.0,0.0,5.0,3,0,-0.006,0,0,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S1_site688,CHEMBL1621,PALIPERIDONE,-26.53,2.98,0.856,3.55,4.26,426.21,3.08,84.4,1.0,6.0,4,0,-0.642,0,0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
S1_site688,CHEMBL231068,FLIBANSERIN,-24.45,2.42,0.873,4.14,4.97,390.17,3.17,44.3,1.0,3.0,4,0,-0.035,0,0,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1
S1_site688,CHEMBL521686,OLAPARIB,-23.4,3.12,0.731,3.75,4.5,434.18,2.35,86.4,1.0,4.0,4,0,-0.783,0,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
S1_site688,CHEMBL3707377,SEGESTERONE ACETATE,-23.34,2.5,0.865,3.6,4.31,370.21,4.19,60.4,0.0,4.0,2,0,-0.118,0,1,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
S1_site688,CHEMBL1479,DANAZOL,-22.23,2.19,0.889,3.48,4.18,337.2,4.22,46.3,1.0,3.0,0,0,0.095,0,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
S1_site688,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-21.78,3.22,0.778,3.45,4.14,412.11,3.81,48.5,1.0,5.0,4,0,0.0,0,0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
S1_site688,CHEMBL1201731,NEBIVOLOL HYDROCHLORIDE,-21.45,2.62,0.74,3.54,4.25,405.18,2.36,71.0,3.0,5.0,6,0,-0.553,0,0,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
S1_site688,CHEMBL1531,ETONOGESTREL,-21.39,4.57,0.891,3.62,4.35,324.21,4.05,37.3,1.0,2.0,1,0,0.203,0,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
S1_site688,CHEMBL1200624,ETHYNODIOL DIACETATE,-21.17,3.63,0.756,3.3,3.96,384.23,4.43,52.6,0.0,4.0,2,0,0.034,0,1,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
