chembl_id,name,smiles,MW,LogP,TPSA,HBD
CHEMBL1200596,CHLOROXINE,Oc1c(Cl)cc(Cl)c2cccnc12,212.97,3.25,33.1,1.0
CHEMBL1177,PEMOLINE,NC1=NC(=O)C(c2ccccc2)O1,176.06,0.6,64.7,1.0
CHEMBL1770,LEVAMISOLE HYDROCHLORIDE,c1ccc([C@H]2CN3CCSC3=N2)cc1,204.07,2.15,15.6,0.0
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.12,2.7,38.9,1.0
CHEMBL857,BIOTIN,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,244.09,0.8,78.4,3.0
CHEMBL175,DEXIBUPROFEN,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,206.13,3.07,37.3,1.0
CHEMBL1371,CHLORZOXAZONE,O=c1[nH]c2cc(Cl)ccc2o1,168.99,1.77,46.0,1.0
CHEMBL341812,IBUFENAC,CC(C)Cc1ccc(CC(=O)O)cc1,192.12,2.51,37.3,1.0
CHEMBL1454910,NITROXOLINE,O=[N+]([O-])c1ccc(O)c2ncccc12,190.04,1.85,76.3,1.0
CHEMBL918,PHENACEMIDE,NC(=O)NC(=O)Cc1ccccc1,178.07,0.42,72.2,2.0
CHEMBL1095,ETHOTOIN,CCN1C(=O)NC(c2ccccc2)C1=O,204.09,1.3,49.4,1.0
CHEMBL1266,TETRAHYDROZOLINE,c1ccc2c(c1)CCCC2C1=NCCN1,200.13,2.11,24.4,1.0
CHEMBL797,PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,189.08,1.16,37.4,0.0
CHEMBL595,PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,356.12,3.16,68.3,1.0
CHEMBL1387,NORETHYNODREL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,298.19,3.64,37.3,1.0
CHEMBL2359966,QUININE SULFATE,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.18,3.17,45.6,1.0
CHEMBL799,CILOSTAZOL,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,369.22,3.46,81.9,1.0
CHEMBL1201168,ISOCARBOXAZID,Cc1cc(C(=O)NNCc2ccccc2)no1,231.1,1.42,67.2,2.0
CHEMBL1256841,NIALAMIDE,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,298.14,1.02,83.1,3.0
CHEMBL1201754,RUFINAMIDE,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,238.07,0.7,73.8,1.0
CHEMBL1201060,LOXAPINE HYDROCHLORIDE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.11,3.77,28.1,0.0
