pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles
S1_site688,CHEMBL406393,DEOXYCHOLIC ACID,-27.65,3.23,101,0.987,2.07,2.49,392.29,4.48,77.8,3.0,3.0,28,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
S1_site688,CHEMBL85,RISPERIDONE,-27.81,3.52,101,0.927,3.75,4.5,410.21,3.59,64.2,0.0,5.0,30,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
S1_site688,CHEMBL1162,NORETHINDRONE,-19.73,2.11,101,0.897,4.09,4.91,298.19,3.49,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
S1_site688,CHEMBL1531,ETONOGESTREL,-21.39,4.57,101,0.891,3.62,4.35,324.21,4.05,37.3,1.0,2.0,24,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
S1_site688,CHEMBL1387,NORETHYNODREL,-19.6,2.89,101,0.891,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
S1_site688,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-26.71,3.07,101,0.89,3.76,4.51,403.18,3.72,48.0,0.0,5.0,30,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S1_site688,CHEMBL1479,DANAZOL,-22.23,2.19,101,0.889,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
S1_site688,CHEMBL231068,FLIBANSERIN,-24.45,2.42,101,0.873,4.14,4.97,390.17,3.17,44.3,1.0,3.0,28,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1
S1_site688,CHEMBL3707377,SEGESTERONE ACETATE,-23.34,2.5,101,0.865,3.6,4.31,370.21,4.19,60.4,0.0,4.0,27,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
S1_site688,CHEMBL1621,PALIPERIDONE,-26.53,2.98,101,0.856,3.55,4.26,426.21,3.08,84.4,1.0,6.0,31,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
