chembl_id,receptor_id,receptor_label,vina_score
CHEMBL1200803,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.452
CHEMBL2079587,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.893
CHEMBL521686,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.591
CHEMBL4585668,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.321
CHEMBL3137310,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.039
CHEMBL1375743,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.262
CHEMBL1162,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.588
CHEMBL1200436,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.527
CHEMBL1201151,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.479
CHEMBL1200430,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.593
CHEMBL976,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.719
CHEMBL1627367,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.647
CHEMBL1571,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.707
CHEMBL85,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.317
CHEMBL1405,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.935
CHEMBL4594261,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.657
CHEMBL654,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.219
CHEMBL3989939,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.153
CHEMBL254857,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.064
CHEMBL1201060,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.812
CHEMBL1621,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.629
CHEMBL277100,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.47
CHEMBL2103837,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.469
CHEMBL256997,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.054
CHEMBL494753,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.871
CHEMBL231068,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.257
CHEMBL3707377,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.54
CHEMBL1479,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.028
CHEMBL1201731,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.945
CHEMBL1531,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.197
CHEMBL1200624,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.479
CHEMBL4297147,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.365
CHEMBL3188267,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.908
CHEMBL1678,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.627
CHEMBL3137320,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-6.169
CHEMBL3233142,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.618
CHEMBL799,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.403
CHEMBL595,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.24
CHEMBL2359966,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.637
CHEMBL1387,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.585
CHEMBL857,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.817
CHEMBL400599,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.586
CHEMBL95,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.569
CHEMBL1256841,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.876
CHEMBL1108,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.669
CHEMBL175,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.434
CHEMBL1770,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.147
CHEMBL1200596,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.427
CHEMBL1177,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.559
CHEMBL341812,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.328
CHEMBL1095,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.493
CHEMBL1454910,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.896
CHEMBL1266,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.487
CHEMBL1201168,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.422
CHEMBL1201754,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-5.356
CHEMBL797,BIN1_SH3_canonical,BIN1 SH3 c-Myc binding groove,-4.359
CHEMBL1200803,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.864
