chembl_id,name,pockets,best_dG,best_LE,CNS_MPO_6,MW,LogP,BBB_logBB,CNS_logPS,Abs_pct,Pgp_sub,AMES,hERG2,Hepato,n_pass_6,hard_fail,smiles
CHEMBL1200596,CHLOROXINE,S3_site473,-26.28,2.021,5.15,214.1,3.25,0.339,-2.301,92.6,No,No,No,No,5,False,Oc1c(Cl)cc(Cl)c2cccnc12
CHEMBL1770,LEVAMISOLE HYDROCHLORIDE,S3_site473,-26.34,1.881,5.94,204.3,2.15,0.552,-2.284,94.4,No,No,No,No,5,False,c1ccc([C@H]2CN3CCSC3=N2)cc1
CHEMBL175,DEXIBUPROFEN,S3_site473,-26.69,1.78,5.33,206.3,3.07,0.259,-1.576,95.2,No,No,No,No,6,False,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
CHEMBL341812,IBUFENAC,S3_site473,-24.39,1.742,5.6,192.3,2.51,0.245,-1.53,97.0,No,No,No,No,6,False,CC(C)Cc1ccc(CC(=O)O)cc1
CHEMBL918,PHENACEMIDE,S3_site473,-19.32,1.486,5.16,178.2,0.42,0.062,-2.609,64.1,No,No,No,No,5,False,NC(=O)NC(=O)Cc1ccccc1
CHEMBL1095,ETHOTOIN,S3_site473,-22.14,1.476,5.8,204.2,1.3,-0.123,-2.386,74.2,Yes,No,No,No,5,False,CCN1C(=O)NC(c2ccccc2)C1=O
CHEMBL797,PHENSUXIMIDE,S3_site473,-20.08,1.435,6.0,189.2,1.16,-0.047,-1.739,81.2,No,No,No,No,6,False,CN1C(=O)CC(c2ccccc2)C1=O
CHEMBL1387,NORETHYNODREL,S1_site1813;S1_site688;S3_site473,-29.02,1.319,4.76,298.4,3.64,0.122,-2.018,97.8,No,No,No,No,5,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
CHEMBL1201168,ISOCARBOXAZID,S3_site473,-21.06,1.239,5.26,231.3,1.42,-0.226,-2.616,93.9,No,No,No,No,5,False,Cc1cc(C(=O)NNCc2ccccc2)no1
CHEMBL1162,NORETHINDRONE,S1_site1813;S1_site688,-23.05,1.048,4.91,298.4,3.49,0.17,-1.554,98.0,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL1200436,OXANDROLONE,S1_site1813,-22.9,1.041,4.86,306.4,3.54,0.119,-2.477,97.1,No,No,No,No,5,False,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL1201151,MESTRANOL,S1_site1813,-22.71,0.987,4.48,310.4,3.92,0.425,-0.956,98.3,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
CHEMBL1571,TESTOLACTONE,S1_site1813,-21.38,0.972,5.01,300.4,3.59,0.351,-2.713,98.2,No,No,No,No,5,False,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
CHEMBL976,PRAZIQUANTEL,S1_site1813,-21.97,0.955,5.79,312.4,2.53,0.3,-1.438,93.4,Yes,No,No,No,6,False,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
CHEMBL691,ETHINYL ESTRADIOL,S1_site1813,-19.33,0.879,4.39,296.4,3.61,-0.077,-0.53,94.9,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CHEMBL3707377,SEGESTERONE ACETATE,S1_site688,-23.34,0.865,4.31,370.5,4.19,0.069,-1.833,99.3,No,No,No,No,6,False,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
CHEMBL4105630,ZURANOLONE,S1_site680;S1_site688,-25.32,0.844,3.26,409.6,4.34,0.139,-1.805,97.8,Yes,No,No,No,6,False,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1
CHEMBL494753,ESTRONE SULFURIC ACID,S1_site680;S1_site688,-20.02,0.834,4.7,350.4,3.29,-0.03,-2.045,94.4,No,No,No,No,5,False,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
CHEMBL1200624,ETHYNODIOL DIACETATE,S1_site688,-21.17,0.756,3.96,384.5,4.43,0.28,-1.583,99.9,No,No,No,No,6,False,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
