chembl_id,name,pockets,best_dG,best_LE,CNS_MPO_6,MW,LogP,BBB_logBB,CNS_logPS,Abs_pct,Pgp_sub,AMES,hERG2,Hepato,n_pass_6,hard_fail,smiles
CHEMBL175,DEXIBUPROFEN,S3_site473,-26.69,1.78,5.33,206.3,3.07,0.259,-1.576,95.2,No,No,No,No,6,False,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
CHEMBL341812,IBUFENAC,S3_site473,-24.39,1.742,5.6,192.3,2.51,0.245,-1.53,97.0,No,No,No,No,6,False,CC(C)Cc1ccc(CC(=O)O)cc1
CHEMBL797,PHENSUXIMIDE,S3_site473,-20.08,1.435,6.0,189.2,1.16,-0.047,-1.739,81.2,No,No,No,No,6,False,CN1C(=O)CC(c2ccccc2)C1=O
CHEMBL1162,NORETHINDRONE,S1_site1813;S1_site688,-23.05,1.048,4.91,298.4,3.49,0.17,-1.554,98.0,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL1201151,MESTRANOL,S1_site1813,-22.71,0.987,4.48,310.4,3.92,0.425,-0.956,98.3,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
CHEMBL976,PRAZIQUANTEL,S1_site1813,-21.97,0.955,5.79,312.4,2.53,0.3,-1.438,93.4,Yes,No,No,No,6,False,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
CHEMBL691,ETHINYL ESTRADIOL,S1_site1813,-19.33,0.879,4.39,296.4,3.61,-0.077,-0.53,94.9,Yes,No,No,No,6,False,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CHEMBL3707377,SEGESTERONE ACETATE,S1_site688,-23.34,0.865,4.31,370.5,4.19,0.069,-1.833,99.3,No,No,No,No,6,False,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
CHEMBL4105630,ZURANOLONE,S1_site680;S1_site688,-25.32,0.844,3.26,409.6,4.34,0.139,-1.805,97.8,Yes,No,No,No,6,False,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1
CHEMBL1200624,ETHYNODIOL DIACETATE,S1_site688,-21.17,0.756,3.96,384.5,4.43,0.28,-1.583,99.9,No,No,No,No,6,False,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
