system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S1_BIN1_BAR,28,3,Tier2,0.0793,-0.0447,0.1158,486.2,81.84,71.23,74.61,"1,2,3"
S1_BIN1_BAR,43,3,Tier2,0.0789,0.0078,0.076,380.5,85.83,83.09,76.8,"1,2,3"
S1_BIN1_BAR,101,3,Tier2,0.076,-0.0089,0.1083,474.8,78.15,80.5,70.76,"1,2,3"
S1_BIN1_BAR,95,3,Tier2,0.0706,-0.001,0.1109,397.3,67.21,77.14,69.99,"1,2,3"
S1_BIN1_BAR,84,3,Tier2,0.0699,-0.0373,0.0932,433.6,84.36,73.22,65.44,"1,2,3"
S1_BIN1_BAR,93,3,Tier2,0.0697,-0.0185,0.0764,402.8,69.38,72.85,61.4,"1,2,3"
S1_BIN1_BAR,86,3,Tier2,0.0689,-0.0004,0.076,378.9,74.66,76.83,58.43,"1,2,3"
S1_BIN1_BAR,52,3,Tier2,0.0668,0.0038,0.091,374.2,59.45,72.31,69.81,"1,2,3"
S1_BIN1_BAR,65,3,Tier2,0.0632,-0.0155,0.0866,374.4,61.21,66.77,68.54,"1,2,3"
S1_BIN1_BAR,5,3,Tier2,0.0616,-0.0059,0.0334,308.9,97.74,63.86,93.41,"1,2,3"
S1_BIN1_BAR,10,3,Tier2,0.0615,-0.0497,0.0533,369.7,91.21,71.26,79.0,"1,2,3"
S1_BIN1_BAR,38,3,Tier2,0.0602,-0.0206,0.0509,366.8,84.16,70.53,88.32,"1,2,3"
S1_BIN1_BAR,54,3,Tier2,0.0564,0.0143,0.0396,321.3,50.49,79.4,68.42,"1,2,3"
S1_BIN1_BAR,98,2,Tier2,0.0824,-0.0525,0.1044,456.6,75.81,72.79,68.29,"1,3"
S1_BIN1_BAR,68,2,Tier2,0.0816,-0.0272,0.0647,376.1,70.58,64.95,81.59,"1,3"
S1_BIN1_BAR,13,2,Tier2,0.08,-0.0249,0.0715,366.6,89.0,83.36,69.15,"1,3"
S1_BIN1_BAR,102,2,Tier2,0.0791,-0.0239,0.0784,430.6,82.68,86.24,66.53,"1,3"
S1_BIN1_BAR,42,2,Tier2,0.0773,-0.0463,0.1332,524.9,84.49,76.09,79.44,"1,3"
S1_BIN1_BAR,67,2,Tier2,0.0769,-0.0173,0.0654,390.7,65.25,69.79,79.82,"1,3"
S1_BIN1_BAR,9,2,Tier2,0.0764,-0.0678,0.0223,315.0,94.26,75.25,81.61,"1,3"
S1_BIN1_BAR,34,2,Tier2,0.0752,-0.0481,0.1178,497.1,72.11,77.88,84.17,"1,3"
S1_BIN1_BAR,70,2,Tier2,0.0752,-0.0169,0.0612,324.6,77.61,61.47,86.39,"1,3"
S1_BIN1_BAR,39,2,Tier2,0.075,-0.0376,0.0848,428.2,77.31,70.26,84.63,"1,3"
S1_BIN1_BAR,111,2,Tier2,0.0741,-0.0192,0.0242,307.5,89.35,90.07,72.41,"1,3"
S1_BIN1_BAR,85,2,Tier2,0.0739,-0.0161,0.0368,344.0,78.46,82.75,58.45,"1,3"
S1_BIN1_BAR,97,2,Tier2,0.0739,-0.0424,0.1267,529.9,74.08,74.49,75.5,"1,3"
S1_BIN1_BAR,96,2,Tier2,0.0738,-0.0477,0.0774,413.0,67.09,71.32,72.38,"1,3"
S1_BIN1_BAR,73,2,Tier2,0.0726,-0.0128,0.127,426.3,68.25,66.96,88.02,"1,3"
S1_BIN1_BAR,45,2,Tier2,0.0723,-0.0483,0.1297,557.0,79.96,79.84,83.28,"1,3"
S1_BIN1_BAR,66,2,Tier2,0.0713,-0.0986,0.1537,574.9,60.74,76.37,77.36,"1,3"
S1_BIN1_BAR,104,2,Tier2,0.0704,-0.0355,0.0895,412.9,69.7,81.03,64.79,"1,3"
S1_BIN1_BAR,56,2,Tier2,0.069,-0.008,0.0296,306.3,54.47,76.38,60.87,"1,3"
S1_BIN1_BAR,64,2,Tier2,0.069,-0.0617,0.0948,430.8,65.61,63.76,72.71,"1,3"
S1_BIN1_BAR,92,2,Tier2,0.0689,-0.0392,0.025,288.5,76.19,64.88,66.46,"1,3"
S1_BIN1_BAR,91,2,Tier2,0.0679,-0.0168,0.103,377.8,69.69,65.75,64.25,"1,3"
S1_BIN1_BAR,44,2,Tier2,0.0676,-0.0311,0.0284,326.2,87.4,80.58,85.9,"1,3"
S1_BIN1_BAR,100,2,Tier2,0.0675,-0.0322,0.0779,427.1,80.58,88.16,76.64,"1,3"
S1_BIN1_BAR,114,2,Tier2,0.0672,-0.0002,0.0429,347.1,83.23,97.09,68.37,"1,3"
S1_BIN1_BAR,99,2,Tier2,0.0665,-0.0204,0.0422,347.2,77.99,90.74,68.97,"1,3"
S1_BIN1_BAR,74,2,Tier2,0.0663,-0.0332,0.0585,361.2,62.31,68.8,89.87,"1,3"
S1_BIN1_BAR,94,2,Tier2,0.0655,-0.0346,0.1236,468.0,64.88,73.73,63.7,"1,3"
S1_BIN1_BAR,25,2,Tier2,0.0653,-0.0227,0.041,313.7,77.37,65.57,75.83,"1,3"
S1_BIN1_BAR,72,2,Tier2,0.0653,-0.0214,0.0377,329.8,69.45,62.86,94.25,"1,3"
S1_BIN1_BAR,14,2,Tier2,0.0651,-0.0691,0.0899,450.1,87.63,77.73,66.62,"1,3"
S1_BIN1_BAR,23,2,Tier2,0.0647,-0.0388,0.0155,300.7,93.65,85.32,81.13,"1,3"
S1_BIN1_BAR,116,2,Tier2,0.0646,-0.0146,0.0271,332.1,86.62,91.85,81.2,"1,3"
S1_BIN1_BAR,11,2,Tier2,0.0645,-0.0517,0.0693,376.3,91.04,68.07,73.2,"1,3"
S1_BIN1_BAR,79,2,Tier2,0.0643,-0.0229,0.0493,350.9,90.16,85.53,60.7,"1,3"
S1_BIN1_BAR,31,2,Tier2,0.063,-0.0199,0.0304,339.6,85.68,60.07,91.02,"1,3"
S1_BIN1_BAR,103,2,Tier2,0.0626,-0.0422,0.0766,388.2,68.16,82.11,74.74,"1,3"
S1_BIN1_BAR,12,2,Tier2,0.0625,-0.055,0.0384,322.2,94.4,69.5,66.71,"1,3"
S1_BIN1_BAR,26,2,Tier2,0.0624,-0.0288,0.0424,330.2,72.72,63.69,73.83,"1,3"
S1_BIN1_BAR,82,2,Tier2,0.0612,-0.0601,0.0728,438.3,84.2,76.93,59.12,"1,3"
S1_BIN1_BAR,17,2,Tier2,0.0604,-0.014,0.0277,385.5,85.07,80.74,94.83,"1,3"
S1_BIN1_BAR,69,2,Tier2,0.0602,-0.0123,0.046,332.4,69.66,58.02,85.59,"1,3"
S1_BIN1_BAR,40,2,Tier2,0.06,-0.0224,0.0198,291.6,79.11,87.46,87.52,"1,3"
S1_BIN1_BAR,15,2,Tier2,0.0599,-0.0486,0.0309,315.6,95.75,79.25,66.14,"1,3"
S1_BIN1_BAR,8,2,Tier2,0.0596,0.004,0.0313,301.2,107.08,60.3,89.27,"2,3"
S1_BIN1_BAR,53,2,Tier2,0.0584,0.0131,0.1483,437.6,60.68,80.16,65.68,"2,3"
S1_BIN1_BAR,55,2,Tier2,0.0584,-0.0238,0.0984,356.1,53.85,72.54,66.03,"1,3"
S1_BIN1_BAR,80,2,Tier2,0.0581,-0.0134,0.026,325.9,84.02,89.42,57.6,"1,3"
S1_BIN1_BAR,29,2,Tier2,0.0578,-0.0023,0.0218,296.7,91.32,60.08,86.43,"2,3"
